,date_2,admin1Pcod_2,admin1Name_2,trip_num,tour_num,id_num,tour_traj_distance_1,tour_traj_distance_2,trip_traj_distance_1,trip_traj_distance_2,time_range,date,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,admin1Name_2.1,admin1_inflow_trip_count,id_num.1,trip_distance_sum,admin1_inflow_trips_per_person,admin1_inflow_trip_miles_per_person,admin1Name_2.2,admin1_inbound_admin2_crossbound_trip_count,id_num.2,trip_distance_sum.1,admin1_inbound_admin2_crossbound_trips_per_person,admin1_inbound_admin2_crossbound_trip_miles_per_person,admin1Name_2.3,admin2_inbound_trip_count,id_num.3,trip_distance_sum.2,admin2_inbound_trips_per_person,admin2_inbound_trip_miles_per_person,0_14_pct,15_64_pct,65p_pct,M_pct,Population,sample_rate_2,rwi,rwi_pctl,new_cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5,date_2_index
13,2020-01-02,ZA8,Mpumalanga,30888,13559,6981,3087729231.10545,3087608722.905445,558378244.4323888,558378244.4323888,112372262,20200102,49.70063822695071,274.83540948833405,60.634260338427005,268.2811965811966,4.424581005586592,Mpumalanga,1165.0,1082.0,235941029.30753505,1.076709796672828,135.49626495242774,Mpumalanga,488.0,325.0,52381554.8721465,1.5015384615384617,100.1488898527723,Mpumalanga,29235.0,6372.0,270055660.2527072,4.58804143126177,26.33471556523306,0.3021978541526616,0.6444398558234767,0.0533622900238615,0.4955341209781855,4547481.0,0.0015351356058442,0.0523010419666447,0.4444444444444444,0.0,0,0,0,1,0,0,0,0,0,1 days
14,2020-01-02,ZA3,Nothern Cape,7997,3949,2082,1504135449.8116257,1504209421.4723012,320263833.9565614,320263833.9565614,37128234,20200102,95.58247854759274,448.9079912276122,77.37950481430536,297.2160902977906,3.841018251681076,Nothern Cape,553.0,539.0,226991956.13601965,1.025974025974026,261.6813773887257,Nothern Cape,140.0,113.0,29903964.81428356,1.238938053097345,164.43771919712088,Nothern Cape,7304.0,1709.0,63367913.00625828,4.273844353423055,23.039786807659663,0.2905180543789262,0.6449880916225764,0.0644938539984974,0.5008080113808923,1251220.0,0.0016639759594635,0.0995845672339362,0.6666666666666666,0.0,0,0,0,1,0,0,0,0,0,1 days
15,2020-01-02,ZA4,Free State,28205,13165,6545,3596754058.6442432,3596684421.084449,735788881.3052675,735788881.3052675,102769630,20200102,69.8545476564749,341.46972614274154,60.72778467174851,261.7001018589254,4.309396485867074,Free State,2000.0,1845.0,468418073.9458009,1.084010840108401,157.75690898277398,Free State,567.0,375.0,79159927.67446457,1.512,131.16719636400848,Free State,25638.0,5443.0,188210879.6850017,4.710270071651663,21.48609566450614,0.2811459389976806,0.6555271573171474,0.0633269036851719,0.4905192097314189,2663702.0,0.0024571066883607,0.2248492570676798,0.7777777777777778,0.0,0,0,0,1,0,0,0,0,0,1 days
16,2020-01-02,ZA7,Gauteng,235160,109110,52693,14778375176.700266,14777936900.446026,3812213426.046713,3812213426.046713,730926552,20200102,44.95473026029677,174.27090131282836,51.80349209049158,231.19027574820183,4.46283187520164,Gauteng,5442.0,5070.0,1704478437.2580645,1.0733727810650888,208.89818514829807,Gauteng,22129.0,10801.0,738263717.990206,2.048791778539024,42.471605095189446,Gauteng,207589.0,48162.0,1369471270.798447,4.310223827914123,17.66849375588239,0.2270393688635094,0.7223349844212468,0.0506256467152438,0.5123439321519871,14760167.0,0.0035699460581983,0.6706237180439658,1.0,0.0,0,0,0,1,0,0,0,0,0,1 days
17,2020-01-02,ZA5,KwaZulu-Natal,83757,36312,19167,10810056483.365671,10809601253.298786,1407192164.4457028,1407192164.4457028,303849941,20200102,45.61948520523091,350.44908881003016,60.46259636010522,264.2127449957392,4.3698544373141335,KwaZulu-Natal,839.0,810.0,376684583.92671657,1.0358024691358023,288.9641345826765,KwaZulu-Natal,4354.0,2669.0,406829349.7878311,1.6313225927313602,94.71413942105804,KwaZulu-Natal,78548.0,18177.0,623282181.1733699,4.321285140562249,21.306573802936835,0.3109682093283005,0.6320226943362347,0.0570090963354647,0.4797594466393526,10418811.0,0.001839653296331,0.0773518610798229,0.5555555555555556,0.0,0,0,0,1,0,0,0,0,0,1 days
19,2020-01-02,ZA2,Eastern Cape,45113,18766,9991,7815415049.872904,7815389211.004332,835093450.8322935,835093450.8322935,163495127,20200102,51.93704465751693,486.0648350884925,60.40207442052919,272.7373419410804,4.5153638274447,Eastern Cape,767.0,737.0,262324813.62887064,1.0407055630936228,221.16836119132668,Eastern Cape,2122.0,1290.0,226999823.61814445,1.6449612403100775,109.34197754982245,Eastern Cape,42216.0,9267.0,345671824.352952,4.555519585626416,23.17799866418993,0.3224085890309294,0.600977358291188,0.0766140526778824,0.4755901564412202,6510816.0,0.0015345234760128,-0.0466675482737358,0.2222222222222222,0.0,0,0,0,1,0,0,0,0,0,1 days
20,2020-01-03,ZA7,Gauteng,251816,117474,55395,16779282260.205065,16778292664.746267,4356045419.012426,4356045419.012426,766523455,20200103,48.86219217351257,188.2148681814309,50.73303887229829,230.62353852634112,4.54582543550862,Gauteng,6147.0,5797.0,2138556690.690277,1.06037605658099,229.2284837952984,Gauteng,23075.0,11409.0,776020389.6530044,2.0225260759049872,42.2645906494143,Gauteng,222594.0,50610.0,1441468338.6691475,4.398221695317131,17.697824543987696,0.2270393688635094,0.7223349844212468,0.0506256467152438,0.5123439321519871,14760167.0,0.0037530063176114,0.6706237180439658,1.0,0.0,0,0,0,1,0,0,0,0,0,2 days
21,2020-01-03,ZA6,North West,26528,12344,6302,2612069592.401535,2612062865.975115,520941633.14562535,520941633.14562535,96010017,20200103,51.36434840903857,257.5475716974657,60.31992423100121,253.91414630276105,4.209457315138051,North West,2067.0,1940.0,301961519.00216806,1.0654639175257732,96.71659230524408,North West,222.0,160.0,31675663.25880153,1.3875,123.0146540251864,North West,24239.0,5469.0,187304450.88465565,4.43207167672335,21.28096360533144,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.0016217757492284,-0.0467738815769532,0.1111111111111111,0.0,0,0,0,1,0,0,0,0,0,2 days
22,2020-01-03,ZA5,KwaZulu-Natal,84507,37652,18902,10957400135.608582,10957879853.321213,1524133910.471739,1524133910.471739,311352067,20200103,50.10331737801156,360.20594572450693,61.40557725001085,274.53185465382853,4.470796741085599,KwaZulu-Natal,955.0,931.0,449019548.6037321,1.0257787325456498,299.6861570932014,KwaZulu-Natal,4187.0,2705.0,436522089.7075481,1.5478743068391867,100.27439974843313,KwaZulu-Natal,79357.0,17753.0,638475468.1484303,4.470061398073565,22.347223728816545,0.3109682093283005,0.6320226943362347,0.0570090963354647,0.4797594466393526,10418811.0,0.0018142185322298,0.0773518610798229,0.5555555555555556,0.0,0,0,0,1,0,0,0,0,0,2 days
23,2020-01-03,ZA3,Nothern Cape,8597,4150,2188,1860591968.02836,1860448353.355068,384950442.31672144,384950442.31672144,41960964,20200103,109.32226475988584,528.3904247902146,81.34807490985227,319.62952468007313,3.929159049360146,Nothern Cape,641.0,612.0,269351286.5582315,1.0473856209150327,273.47570271135305,Nothern Cape,202.0,155.0,43032991.994829446,1.303225806451613,172.5126551055924,Nothern Cape,7754.0,1790.0,72566163.76366048,4.331843575418994,25.19023670051136,0.2905180543789262,0.6449880916225764,0.0644938539984974,0.5008080113808923,1251220.0,0.0017486932753632,0.0995845672339362,0.6666666666666666,0.0,0,0,0,1,0,0,0,0,0,2 days
