"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","","date_2"
"631","log.new_cases.per1M","(Intercept)",0.5223,1.63,1066,0.3204,0.7487,0,"",2020-03-26
"632","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0689,0.0195,1066,3.5398,4e-04,0.0506,"***",2020-03-26
"633","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",4e-04,0.0259,1066,0.0147,0.9883,3e-04,"",2020-03-26
"634","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.0331,0.0301,1066,1.0977,0.2726,0.0174,"",2020-03-26
"635","log.new_cases.per1M","l1.log.new_cases.per1M",0.928,0.0121,1066,76.4695,0,0.9216,"***",2020-03-26
"636","log.new_cases.per1M","weekend",0.016,0.0368,1066,0.4356,0.6632,0.0037,"",2020-03-26
"637","log.new_cases.per1M","rwi",0.2099,0.2013,5,1.0425,0.3449,0.0259,"",2020-03-26
"638","log.new_cases.per1M","X65p_pct",5.6118,5.6839,5,0.9873,0.3688,0.0226,"",2020-03-26
"639","log.new_cases.per1M","M_pct",-2.4627,3.093,5,-0.7962,0.462,-0.0191,"",2020-03-26
"640","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-5.9993,2.7818,1041,-2.1566,0.0313,0,"*",2020-03-26
"641","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0268,0.0135,1041,1.9906,0.0468,0.0296,"*",2020-03-26
"642","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4968,0.0236,1041,21.053,0,0.498,"***",2020-03-26
"643","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.6998,0.3131,29,-2.2349,0.0333,-0.1175,"*",2020-03-26
"644","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-13.3933,9.6799,29,-1.3836,0.177,-0.0732,"",2020-03-26
"645","l3.log.admin1_inflow_trip_count.per1M","M_pct",17.6144,5.1273,29,3.4354,0.0018,0.1859,"**",2020-03-26
"646","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2524,0.0203,1041,-12.4466,0,-0.0802,"***",2020-03-26
"647","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.2092,1.4336,1041,4.3311,0,0,"***",2020-03-26
"648","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0115,0.0179,1041,0.6381,0.5235,0.0102,"",2020-03-26
"649","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4442,0.0257,1041,17.2987,0,0.4456,"***",2020-03-26
"650","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.2884,0.1874,29,12.2143,0,0.3677,"***",2020-03-26
"651","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-3.3633,4.7888,29,-0.7023,0.4881,-0.0176,"",2020-03-26
"652","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.0868,2.5351,29,-3.19,0.0034,-0.0817,"**",2020-03-26
"653","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2447,0.0198,1041,-12.3499,0,-0.0744,"***",2020-03-26
"654","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.7824,0.899,1041,3.0951,0.002,0,"**",2020-03-26
"655","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.062,0.0173,1041,-3.5905,3e-04,-0.0726,"***",2020-03-26
"656","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3511,0.0259,1041,13.5434,0,0.3533,"***",2020-03-26
"657","l22.log.admin2_inbound_trip_count.per1M","rwi",1.1999,0.1057,29,11.3469,0,0.2818,"***",2020-03-26
"658","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",6.9406,2.9357,29,2.3642,0.025,0.0531,"*",2020-03-26
"659","l22.log.admin2_inbound_trip_count.per1M","M_pct",4.0714,1.5403,29,2.6432,0.0131,0.0601,"*",2020-03-26
"660","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.2475,0.0159,1041,-15.6051,0,-0.11,"***",2020-03-26
"661","log.new_cases.per1M","(Intercept)",0.441,1.5793,1066,0.2793,0.7801,0,"",2020-03-27
"662","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0659,0.0197,1066,3.3439,9e-04,0.048,"***",2020-03-27
"663","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.001,0.0257,1066,0.0376,0.97,7e-04,"",2020-03-27
"664","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.0318,0.0303,1066,1.0526,0.2928,0.0165,"",2020-03-27
"665","log.new_cases.per1M","l1.log.new_cases.per1M",0.9304,0.0123,1066,75.8313,0,0.9234,"***",2020-03-27
"666","log.new_cases.per1M","weekend",0.0157,0.0367,1066,0.4266,0.6698,0.0036,"",2020-03-27
"667","log.new_cases.per1M","rwi",0.1956,0.1959,5,0.9987,0.3638,0.024,"",2020-03-27
"668","log.new_cases.per1M","X65p_pct",5.6548,5.5073,5,1.0268,0.3516,0.0226,"",2020-03-27
"669","log.new_cases.per1M","M_pct",-2.2733,3.0056,5,-0.7564,0.4835,-0.0175,"",2020-03-27
"670","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.2086,2.8272,1041,-2.196,0.0283,0,"*",2020-03-27
"671","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0304,0.0132,1041,2.315,0.0208,0.0338,"*",2020-03-27
"672","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4807,0.0233,1041,20.6387,0,0.482,"***",2020-03-27
"673","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7067,0.3183,29,-2.22,0.0344,-0.119,"*",2020-03-27
"674","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-13.6509,9.8418,29,-1.387,0.176,-0.0749,"",2020-03-27
"675","l3.log.admin1_inflow_trip_count.per1M","M_pct",18.0894,5.2089,29,3.4728,0.0016,0.1915,"**",2020-03-27
"676","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2537,0.0198,1041,-12.7859,0,-0.0808,"***",2020-03-27
"677","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.2424,1.4346,1041,4.3512,0,0,"***",2020-03-27
"678","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0112,0.0175,1041,0.6369,0.5243,0.0101,"",2020-03-27
"679","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4428,0.0257,1041,17.2405,0,0.4443,"***",2020-03-27
"680","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.2924,0.1874,29,12.2335,0,0.3696,"***",2020-03-27
"681","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-3.3487,4.7926,29,-0.6987,0.4903,-0.0176,"",2020-03-27
"682","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.1501,2.537,29,-3.2125,0.0032,-0.0826,"**",2020-03-27
"683","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2431,0.0198,1041,-12.2884,0,-0.0742,"***",2020-03-27
"684","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.8107,0.9005,1041,3.1212,0.0019,0,"**",2020-03-27
"685","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.0534,0.0167,1041,-3.1948,0.0014,-0.0641,"**",2020-03-27
"686","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3486,0.0259,1041,13.4423,0,0.3508,"***",2020-03-27
"687","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2018,0.1059,29,11.3463,0,0.284,"***",2020-03-27
"688","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",6.9158,2.9425,29,2.3503,0.0258,0.0532,"*",2020-03-27
"689","l22.log.admin2_inbound_trip_count.per1M","M_pct",4.0317,1.5437,29,2.6118,0.0141,0.0599,"*",2020-03-27
"690","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.2472,0.0158,1041,-15.6097,0,-0.1106,"***",2020-03-27
"691","log.new_cases.per1M","(Intercept)",1.1855,2.5342,1066,0.4678,0.64,0,"",2020-03-28
"692","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.1194,0.0214,1066,5.5765,0,0.0864,"***",2020-03-28
"693","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.0179,0.0258,1066,-0.6939,0.4879,-0.0135,"",2020-03-28
"694","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.077,0.0304,1066,2.5284,0.0116,0.0395,"*",2020-03-28
"695","log.new_cases.per1M","l1.log.new_cases.per1M",0.9012,0.0126,1066,71.4325,0,0.8984,"***",2020-03-28
"696","log.new_cases.per1M","weekend",-0.0067,0.0351,1066,-0.1901,0.8493,-0.0016,"",2020-03-28
"697","log.new_cases.per1M","rwi",0.3726,0.2986,5,1.248,0.2673,0.0455,"",2020-03-28
"698","log.new_cases.per1M","X65p_pct",8.0975,8.8626,5,0.9137,0.4028,0.0322,"",2020-03-28
"699","log.new_cases.per1M","M_pct",-4.9271,4.7318,5,-1.0413,0.3455,-0.0378,"",2020-03-28
"700","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.587,2.9624,1041,-2.2235,0.0264,0,"*",2020-03-28
"701","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0319,0.0125,1041,2.5568,0.0107,0.0357,"*",2020-03-28
"702","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4448,0.0226,1041,19.7031,0,0.446,"***",2020-03-28
"703","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7652,0.3334,29,-2.295,0.0292,-0.1292,"*",2020-03-28
"704","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-14.4646,10.3131,29,-1.4025,0.1714,-0.0795,"",2020-03-28
"705","l3.log.admin1_inflow_trip_count.per1M","M_pct",19.0507,5.4494,29,3.4959,0.0015,0.2022,"**",2020-03-28
"706","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2566,0.0189,1041,-13.5613,0,-0.082,"***",2020-03-28
"707","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.2499,1.4336,1041,4.3595,0,0,"***",2020-03-28
"708","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0097,0.0171,1041,0.5676,0.5705,0.009,"",2020-03-28
"709","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.441,0.0257,1041,17.1651,0,0.4426,"***",2020-03-28
"710","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.2949,0.1872,29,12.2579,0,0.3713,"***",2020-03-28
"711","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-3.3599,4.7882,29,-0.7017,0.4885,-0.0177,"",2020-03-28
"712","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.1512,2.5349,29,-3.2156,0.0032,-0.0829,"**",2020-03-28
"713","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2411,0.0198,1041,-12.1995,0,-0.0738,"***",2020-03-28
"714","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.8329,0.9015,1041,3.1426,0.0017,0,"**",2020-03-28
"715","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.0444,0.0162,1041,-2.744,0.0062,-0.0545,"**",2020-03-28
"716","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3463,0.026,1041,13.3437,0,0.3484,"***",2020-03-28
"717","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2035,0.106,29,11.3507,0,0.2862,"***",2020-03-28
"718","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",6.9114,2.9473,29,2.345,0.0261,0.0535,"*",2020-03-28
"719","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.9973,1.5459,29,2.5857,0.015,0.0598,"*",2020-03-28
"720","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.2468,0.0158,1041,-15.5945,0,-0.1111,"***",2020-03-28
"721","log.new_cases.per1M","(Intercept)",1.2361,2.69,1066,0.4595,0.646,0,"",2020-03-29
"722","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.1273,0.0217,1066,5.8779,0,0.0921,"***",2020-03-29
"723","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.0185,0.0258,1066,-0.7173,0.4733,-0.0139,"",2020-03-29
"724","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.0864,0.0307,1066,2.8184,0.0049,0.0439,"**",2020-03-29
"725","log.new_cases.per1M","l1.log.new_cases.per1M",0.8943,0.0129,1066,69.5967,0,0.8924,"***",2020-03-29
"726","log.new_cases.per1M","weekend",0.0045,0.035,1066,0.1284,0.8978,0.001,"",2020-03-29
"727","log.new_cases.per1M","rwi",0.3886,0.3155,5,1.2316,0.2729,0.0474,"",2020-03-29
"728","log.new_cases.per1M","X65p_pct",8.5509,9.4114,5,0.9086,0.4052,0.034,"",2020-03-29
"729","log.new_cases.per1M","M_pct",-5.2623,5.0152,5,-1.0493,0.3421,-0.0403,"",2020-03-29
"730","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.3675,2.9427,1041,-2.1638,0.0307,0,"*",2020-03-29
"731","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0305,0.0122,1041,2.4972,0.0127,0.0344,"*",2020-03-29
"732","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.472,0.0231,1041,20.4471,0,0.4707,"***",2020-03-29
"733","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7482,0.3314,29,-2.2577,0.0317,-0.126,"*",2020-03-29
"734","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-13.8454,10.2485,29,-1.351,0.1872,-0.0759,"",2020-03-29
"735","l3.log.admin1_inflow_trip_count.per1M","M_pct",18.4775,5.417,29,3.411,0.0019,0.1956,"**",2020-03-29
"736","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2535,0.0187,1041,-13.52,0,-0.0808,"***",2020-03-29
"737","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.2954,1.4404,1041,4.3706,0,0,"***",2020-03-29
"738","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0104,0.0166,1041,0.6236,0.533,0.0097,"",2020-03-29
"739","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4384,0.0257,1041,17.0752,0,0.44,"***",2020-03-29
"740","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.3029,0.1877,29,12.2666,0,0.374,"***",2020-03-29
"741","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-3.3456,4.8135,29,-0.695,0.4926,-0.0177,"",2020-03-29
"742","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.2358,2.5479,29,-3.2324,0.0031,-0.0841,"**",2020-03-29
"743","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2386,0.0197,1041,-12.1041,0,-0.0733,"***",2020-03-29
"744","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.8748,0.9064,1041,3.1716,0.0016,0,"**",2020-03-29
"745","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.0364,0.0156,1041,-2.3395,0.0195,-0.046,"*",2020-03-29
"746","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3407,0.0259,1041,13.1617,0,0.3434,"***",2020-03-29
"747","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2124,0.1065,29,11.3885,0,0.2906,"***",2020-03-29
"748","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",6.9435,2.9657,29,2.3413,0.0263,0.0542,"*",2020-03-29
"749","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.968,1.5553,29,2.5513,0.0163,0.0598,"*",2020-03-29
"750","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.2408,0.0156,1041,-15.4249,0,-0.1102,"***",2020-03-29
"751","log.new_cases.per1M","(Intercept)",1.1825,2.5373,1066,0.466,0.6413,0,"",2020-03-30
"752","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.1198,0.0215,1066,5.562,0,0.0868,"***",2020-03-30
"753","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.0223,0.0257,1066,-0.8685,0.3853,-0.0166,"",2020-03-30
"754","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.0813,0.0305,1066,2.6618,0.0079,0.041,"**",2020-03-30
"755","log.new_cases.per1M","l1.log.new_cases.per1M",0.901,0.013,1066,69.2669,0,0.8987,"***",2020-03-30
"756","log.new_cases.per1M","weekend",-0.0019,0.0351,1066,-0.0548,0.9563,-4e-04,"",2020-03-30
"757","log.new_cases.per1M","rwi",0.3605,0.2987,5,1.2066,0.2815,0.0438,"",2020-03-30
"758","log.new_cases.per1M","X65p_pct",7.8791,8.8771,5,0.8876,0.4154,0.0312,"",2020-03-30
"759","log.new_cases.per1M","M_pct",-4.9316,4.738,5,-1.0408,0.3456,-0.0377,"",2020-03-30
"760","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.6865,3.5187,1050,-1.9003,0.0577,0,"",2020-03-30
"761","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0341,0.012,1050,2.8529,0.0044,0.0388,"**",2020-03-30
"762","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4652,0.0232,1050,20.0752,0,0.4637,"***",2020-03-30
"763","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7187,0.3955,21,-1.8173,0.0835,-0.1206,"",2020-03-30
"764","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-12.4789,12.2373,21,-1.0197,0.3195,-0.0682,"",2020-03-30
"765","l3.log.admin1_inflow_trip_count.per1M","M_pct",18.9711,6.4541,21,2.9394,0.0078,0.2002,"**",2020-03-30
"766","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2559,0.0187,1050,-13.6977,0,-0.0813,"***",2020-03-30
"767","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.4252,1.4597,1041,4.4017,0,0,"***",2020-03-30
"768","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0095,0.016,1041,0.5977,0.5502,0.0092,"",2020-03-30
"769","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4306,0.0256,1041,16.818,0,0.4328,"***",2020-03-30
"770","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.336,0.1894,29,12.3362,0,0.3814,"***",2020-03-30
"771","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-3.427,4.8835,29,-0.7017,0.4884,-0.0182,"",2020-03-30
"772","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.4456,2.5842,29,-3.2682,0.0028,-0.0867,"**",2020-03-30
"773","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2373,0.0194,1041,-12.2133,0,-0.074,"***",2020-03-30
"774","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.9502,0.9202,1041,3.2061,0.0014,0,"**",2020-03-30
"775","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.0385,0.015,1041,-2.569,0.0103,-0.0498,"*",2020-03-30
"776","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3276,0.026,1041,12.6139,0,0.3297,"***",2020-03-30
"777","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2356,0.1078,29,11.4591,0,0.298,"***",2020-03-30
"778","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",7.0391,3.0109,29,2.3378,0.0265,0.0553,"*",2020-03-30
"779","l22.log.admin2_inbound_trip_count.per1M","M_pct",4.0157,1.5787,29,2.5436,0.0166,0.0609,"*",2020-03-30
"780","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.2517,0.0156,1041,-16.1695,0,-0.1159,"***",2020-03-30
"781","log.new_cases.per1M","(Intercept)",1.0578,2.4022,1066,0.4404,0.6598,0,"",2020-03-31
"782","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.1118,0.0215,1066,5.2043,0,0.0809,"***",2020-03-31
"783","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.007,0.026,1066,-0.2682,0.7886,-0.0052,"",2020-03-31
"784","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.0731,0.0304,1066,2.4042,0.0164,0.0368,"*",2020-03-31
"785","log.new_cases.per1M","l1.log.new_cases.per1M",0.8986,0.0129,1066,69.67,0,0.8983,"***",2020-03-31
"786","log.new_cases.per1M","weekend",-0.0059,0.035,1066,-0.1688,0.866,-0.0014,"",2020-03-31
"787","log.new_cases.per1M","rwi",0.3239,0.2842,5,1.1398,0.306,0.0394,"",2020-03-31
"788","log.new_cases.per1M","X65p_pct",8.1701,8.3982,5,0.9728,0.3753,0.0324,"",2020-03-31
"789","log.new_cases.per1M","M_pct",-4.6211,4.494,5,-1.0283,0.351,-0.0353,"",2020-03-31
"790","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-5.8913,3.1273,1050,-1.8838,0.0599,0,"",2020-03-31
"791","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0316,0.0116,1050,2.7181,0.0067,0.0364,"**",2020-03-31
"792","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.5275,0.0248,1050,21.2556,0,0.528,"***",2020-03-31
"793","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.6409,0.3515,21,-1.8231,0.0826,-0.1076,"",2020-03-31
"794","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-11.252,10.8665,21,-1.0355,0.3122,-0.0616,"",2020-03-31
"795","l3.log.admin1_inflow_trip_count.per1M","M_pct",16.7842,5.7496,21,2.9192,0.0082,0.1773,"**",2020-03-31
"796","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.258,0.0182,1050,-14.1433,0,-0.0827,"***",2020-03-31
"797","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.6743,1.507,1041,4.4289,0,0,"***",2020-03-31
"798","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0205,0.0153,1041,1.3367,0.1816,0.0201,"",2020-03-31
"799","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4089,0.0255,1041,16.0509,0,0.4108,"***",2020-03-31
"800","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.4206,0.1936,29,12.5009,0,0.397,"***",2020-03-31
"801","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-3.6512,5.052,29,-0.7227,0.4756,-0.0195,"",2020-03-31
"802","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.8097,2.6716,29,-3.2976,0.0026,-0.0909,"**",2020-03-31
"803","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2491,0.0193,1041,-12.9287,0,-0.078,"***",2020-03-31
"804","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.0157,0.9319,1041,3.2362,0.0012,0,"**",2020-03-31
"805","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.0261,0.0146,1041,-1.7832,0.0749,-0.0344,"",2020-03-31
"806","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3146,0.026,1041,12.1151,0,0.3154,"***",2020-03-31
"807","l22.log.admin2_inbound_trip_count.per1M","rwi",1.253,0.109,29,11.4993,0,0.303,"***",2020-03-31
"808","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",7.1564,3.0497,29,2.3466,0.026,0.0564,"*",2020-03-31
"809","l22.log.admin2_inbound_trip_count.per1M","M_pct",4.0457,1.599,29,2.5302,0.0171,0.0615,"*",2020-03-31
"810","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.2583,0.0158,1041,-16.3741,0,-0.1182,"***",2020-03-31
"811","log.new_cases.per1M","(Intercept)",0.9986,2.4619,1066,0.4056,0.6851,0,"",2020-04-01
"812","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.1133,0.0217,1066,5.2271,0,0.0815,"***",2020-04-01
"813","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.0068,0.0263,1066,-0.2593,0.7954,-0.005,"",2020-04-01
"814","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.0782,0.0305,1066,2.5658,0.0104,0.039,"*",2020-04-01
"815","log.new_cases.per1M","l1.log.new_cases.per1M",0.8991,0.0129,1066,69.4621,0,0.8966,"***",2020-04-01
"816","log.new_cases.per1M","weekend",-0.0133,0.0351,1066,-0.378,0.7055,-0.003,"",2020-04-01
"817","log.new_cases.per1M","rwi",0.3193,0.291,5,1.0972,0.3226,0.0387,"",2020-04-01
"818","log.new_cases.per1M","X65p_pct",8.0118,8.6036,5,0.9312,0.3945,0.0316,"",2020-04-01
"819","log.new_cases.per1M","M_pct",-4.5609,4.6026,5,-0.9909,0.3672,-0.0348,"",2020-04-01
"820","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-5.9379,3.1627,1050,-1.8775,0.0607,0,"",2020-04-01
"821","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0349,0.0115,1050,3.0277,0.0025,0.0406,"**",2020-04-01
"822","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.5241,0.0251,1050,20.9109,0,0.5258,"***",2020-04-01
"823","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.6475,0.3556,21,-1.821,0.0829,-0.1091,"",2020-04-01
"824","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-11.3597,10.9912,21,-1.0335,0.3131,-0.0624,"",2020-04-01
"825","l3.log.admin1_inflow_trip_count.per1M","M_pct",16.9038,5.8153,21,2.9068,0.0084,0.1791,"**",2020-04-01
"826","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2535,0.0183,1050,-13.8216,0,-0.0816,"***",2020-04-01
