"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","","date_2"
"238","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",8.7954,3.5951,29,2.4465,0.0207,0.0627,"*",2020-03-12
"239","l22.log.admin2_inbound_trip_count.per1M","M_pct",5.3737,1.8885,29,2.8455,0.0081,0.0739,"**",2020-03-12
"240","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3086,0.0194,1041,-15.892,0,-0.1277,"***",2020-03-12
"241","log.new_cases.per1M","(Intercept)",-0.2152,0.7333,1066,-0.2935,0.7692,0,"",2020-03-13
"242","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0115,0.0125,1066,0.92,0.3578,0.0098,"",2020-03-13
"243","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.0196,0.0206,1066,0.9528,0.3409,0.0175,"",2020-03-13
"244","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",-0.0133,0.0245,1066,-0.5451,0.5858,-0.0083,"",2020-03-13
"245","log.new_cases.per1M","l1.log.new_cases.per1M",0.9561,0.0101,1066,94.4412,0,0.9454,"***",2020-03-13
"246","log.new_cases.per1M","weekend",0.0201,0.0349,1066,0.5758,0.5649,0.0052,"",2020-03-13
"247","log.new_cases.per1M","rwi",0.0941,0.1044,5,0.9019,0.4084,0.0129,"",2020-03-13
"248","log.new_cases.per1M","X65p_pct",3.6675,2.5473,5,1.4398,0.2095,0.0163,"",2020-03-13
"249","log.new_cases.per1M","M_pct",0.1353,1.4365,5,0.0942,0.9286,0.0012,"",2020-03-13
"250","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-4.8214,2.2157,1041,-2.1761,0.0298,0,"*",2020-03-13
"251","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",-0.0082,0.0194,1041,-0.4208,0.674,-0.0072,"",2020-03-13
"252","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.5968,0.0239,1041,24.9959,0,0.5988,"***",2020-03-13
"253","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.5228,0.2487,29,-2.1022,0.0443,-0.0837,"*",2020-03-13
"254","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-10.3996,7.6768,29,-1.3547,0.186,-0.0542,"",2020-03-13
"255","l3.log.admin1_inflow_trip_count.per1M","M_pct",14.3917,4.0959,29,3.5137,0.0015,0.1448,"**",2020-03-13
"256","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2115,0.0214,1041,-9.8684,0,-0.064,"***",2020-03-13
"257","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",5.5428,1.3845,1041,4.0034,1e-04,0,"***",2020-03-13
"258","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",-0.0489,0.0269,1041,-1.8186,0.0693,-0.0326,"",2020-03-13
"259","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4873,0.0256,1041,19.0273,0,0.4887,"***",2020-03-13
"260","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.1327,0.1829,29,11.6601,0,0.3274,"***",2020-03-13
"261","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-2.7089,4.6178,29,-0.5866,0.562,-0.0135,"",2020-03-13
"262","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-6.936,2.4456,29,-2.8361,0.0082,-0.067,"**",2020-03-13
"263","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2418,0.0202,1041,-11.9934,0,-0.0703,"***",2020-03-13
"264","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.0695,1.0957,1041,2.8015,0.0052,0,"**",2020-03-13
"265","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.1712,0.0285,1041,-6.0173,0,-0.146,"***",2020-03-13
"266","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.2369,0.0268,1041,8.8371,0,0.238,"***",2020-03-13
"267","l22.log.admin2_inbound_trip_count.per1M","rwi",1.4401,0.1257,29,11.4566,0,0.3165,"***",2020-03-13
"268","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",8.7994,3.5828,29,2.456,0.0203,0.063,"*",2020-03-13
"269","l22.log.admin2_inbound_trip_count.per1M","M_pct",5.3503,1.8818,29,2.8432,0.0081,0.0739,"**",2020-03-13
"270","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3087,0.0194,1041,-15.8869,0,-0.1284,"***",2020-03-13
"271","log.new_cases.per1M","(Intercept)",-0.1665,0.7335,1066,-0.2271,0.8204,0,"",2020-03-14
"272","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0122,0.0126,1066,0.9712,0.3317,0.0103,"",2020-03-14
"273","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.0196,0.0206,1066,0.9482,0.3432,0.0172,"",2020-03-14
"274","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",-0.012,0.0245,1066,-0.4888,0.6251,-0.0073,"",2020-03-14
"275","log.new_cases.per1M","l1.log.new_cases.per1M",0.9566,0.01,1066,95.319,0,0.9463,"***",2020-03-14
"276","log.new_cases.per1M","weekend",0.0214,0.0346,1066,0.619,0.536,0.0055,"",2020-03-14
"277","log.new_cases.per1M","rwi",0.0898,0.1043,5,0.8607,0.4287,0.0121,"",2020-03-14
"278","log.new_cases.per1M","X65p_pct",3.5313,2.547,5,1.3865,0.2242,0.0155,"",2020-03-14
"279","log.new_cases.per1M","M_pct",0.0301,1.4373,5,0.021,0.9841,3e-04,"",2020-03-14
"280","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-4.7899,2.2183,1041,-2.1593,0.0311,0,"*",2020-03-14
"281","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",-0.0053,0.0189,1041,-0.2812,0.7786,-0.0048,"",2020-03-14
"282","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.5961,0.0239,1041,24.9592,0,0.5978,"***",2020-03-14
"283","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.5267,0.249,29,-2.1149,0.0431,-0.0845,"*",2020-03-14
"284","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-10.4653,7.686,29,-1.3616,0.1838,-0.0547,"",2020-03-14
"285","l3.log.admin1_inflow_trip_count.per1M","M_pct",14.3356,4.1007,29,3.4959,0.0015,0.1447,"**",2020-03-14
"286","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2123,0.0214,1041,-9.9161,0,-0.0645,"***",2020-03-14
"287","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",5.5549,1.3767,1041,4.035,1e-04,0,"***",2020-03-14
"288","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",-0.0421,0.0261,1041,-1.616,0.1064,-0.0288,"",2020-03-14
"289","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4874,0.0256,1041,19.0358,0,0.4889,"***",2020-03-14
"290","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.1293,0.1822,29,11.6883,0,0.3279,"***",2020-03-14
"291","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-2.7395,4.5898,29,-0.5969,0.5552,-0.0137,"",2020-03-14
