"","Response","family","link","method","Marginal","Conditional","date_2"
"57","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-19
"58","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-19
"59","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-19
"60","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.41,0.93,2020-03-19
"61","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-20
"62","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-20
"63","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-20
"64","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.41,0.93,2020-03-20
"65","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-21
"66","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-21
"67","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-21
"68","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.4,0.93,2020-03-21
"69","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-22
"70","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.93,2020-03-22
"71","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-22
"72","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.4,0.93,2020-03-22
"73","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-23
"74","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-23
"75","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-23
"76","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.39,0.93,2020-03-23
"77","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-24
"78","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.93,2020-03-24
"79","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.67,0.95,2020-03-24
"80","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.38,0.93,2020-03-24
"81","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-25
"82","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.93,2020-03-25
"83","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.67,0.95,2020-03-25
"84","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.4,0.93,2020-03-25
"85","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-26
"86","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.62,0.93,2020-03-26
"87","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.67,0.95,2020-03-26
"88","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.4,0.93,2020-03-26
"89","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-27
"90","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.61,0.93,2020-03-27
"91","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.67,0.95,2020-03-27
"92","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.4,0.93,2020-03-27
"93","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-03-28
"94","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.56,0.94,2020-03-28
"95","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.67,0.95,2020-03-28
"96","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.4,0.93,2020-03-28
"97","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-03-29
"98","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.6,0.94,2020-03-29
"99","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-03-29
"100","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.39,0.93,2020-03-29
"101","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-03-30
"102","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.52,0.95,2020-03-30
"103","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-03-30
"104","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.38,0.93,2020-03-30
"105","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-03-31
"106","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.62,0.95,2020-03-31
"107","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-03-31
"108","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.37,0.93,2020-03-31
"109","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-04-01
"110","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.61,0.95,2020-04-01
"111","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-01
"112","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.38,0.93,2020-04-01
"113","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-04-02
"114","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.6,0.95,2020-04-02
"115","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-02
"116","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.38,0.93,2020-04-02
"117","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-04-03
"118","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.6,0.95,2020-04-03
"119","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-03
"120","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.37,0.93,2020-04-03
"121","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-04
"122","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.6,0.95,2020-04-04
"123","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.95,2020-04-04
"124","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.36,0.93,2020-04-04
"125","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-05
"126","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.61,0.95,2020-04-05
