"","X.Intercept.","date_2","sub_model","lockdown_level","se"
"443",0.515667386569403,2020-04-17,"model_4","4",0.0268012879857729
"543",-0.873953570936083,2020-04-17,"model_4","5",0.0268012879857729
"344",0.458961190613747,2020-04-18,"model_4","3",0.0239752666108273
"444",0.46417147820101,2020-04-18,"model_4","4",0.0239752666108273
"544",-0.923132668814749,2020-04-18,"model_4","5",0.0239752666108273
"345",0.442492033167683,2020-04-19,"model_4","3",0.0234021195963101
"445",0.454933584118252,2020-04-19,"model_4","4",0.0234021195963101
"545",-0.897425617285926,2020-04-19,"model_4","5",0.0234021195963101
"346",0.446656452500251,2020-04-20,"model_4","3",0.0234104521979446
"446",0.457805698650276,2020-04-20,"model_4","4",0.0234104521979446
"546",-0.904462151150532,2020-04-20,"model_4","5",0.0234104521979446
"347",0.444020084267139,2020-04-21,"model_4","3",0.0232576983755702
"447",0.459114715541187,2020-04-21,"model_4","4",0.0232576983755702
"547",-0.903134799808325,2020-04-21,"model_4","5",0.0232576983755702
"348",0.445998168706052,2020-04-22,"model_4","3",0.0231722061990275
"448",0.459800582153732,2020-04-22,"model_4","4",0.0231722061990275
"548",-0.905798750859791,2020-04-22,"model_4","5",0.0231722061990275
"349",0.448204521414416,2020-04-23,"model_4","3",0.0232552476103836
"449",0.462320160472429,2020-04-23,"model_4","4",0.0232552476103836
"549",-0.910524681886845,2020-04-23,"model_4","5",0.0232552476103836
"350",0.452821473552824,2020-04-24,"model_4","3",0.0232127782214075
"450",0.462085753709886,2020-04-24,"model_4","4",0.0232127782214075
"550",-0.914907227262706,2020-04-24,"model_4","5",0.0232127782214075
"351",0.454676223447365,2020-04-25,"model_4","3",0.0230698907053328
"451",0.460957275805578,2020-04-25,"model_4","4",0.0230698907053328
"551",-0.915633499252945,2020-04-25,"model_4","5",0.0230698907053328
"352",0.455263643416825,2020-04-26,"model_4","3",0.0230388213273216
"452",0.46222016524877,2020-04-26,"model_4","4",0.0230388213273216
"552",-0.917483808665597,2020-04-26,"model_4","5",0.0230388213273216
"353",0.457981061935957,2020-04-27,"model_4","3",0.0230532571248403
"453",0.46577514278192,2020-04-27,"model_4","4",0.0230532571248403
"553",-0.923756204717872,2020-04-27,"model_4","5",0.0230532571248403
"354",0.459899812920722,2020-04-28,"model_4","3",0.0231929033063133
"454",0.469529899147417,2020-04-28,"model_4","4",0.0231929033063133
"554",-0.92942971206815,2020-04-28,"model_4","5",0.0231929033063133
"355",0.45844365381417,2020-04-29,"model_4","3",0.0231313811944348
"455",0.468188971690094,2020-04-29,"model_4","4",0.0231313811944348
"555",-0.926632625504256,2020-04-29,"model_4","5",0.0231313811944348
"356",0.456641217077063,2020-04-30,"model_4","3",0.0229752279235756
"456",0.465071531582101,2020-04-30,"model_4","4",0.0229752279235756
"556",-0.921712748659156,2020-04-30,"model_4","5",0.0229752279235756
"357",0.454248211864668,2020-05-01,"model_4","3",0.0228473612263867
"457",0.462961077629194,2020-05-01,"model_4","4",0.0228473612263867
"557",-0.917209289493867,2020-05-01,"model_4","5",0.0228473612263867
"358",0.45402282860008,2020-05-02,"model_4","3",0.0228158965636681
"458",0.46226187122555,2020-05-02,"model_4","4",0.0228158965636681
"558",-0.916284699825621,2020-05-02,"model_4","5",0.0228158965636681
"359",0.448578981006176,2020-05-03,"model_4","3",0.022678353296839
"459",0.456588501609795,2020-05-03,"model_4","4",0.022678353296839
"559",-0.905167482615967,2020-05-03,"model_4","5",0.022678353296839
"360",0.444840621717663,2020-05-04,"model_4","3",0.0224372770594161
"460",0.454828604859451,2020-05-04,"model_4","4",0.0224372770594161
"560",-0.89966922657711,2020-05-04,"model_4","5",0.0224372770594161
"361",0.431152614848638,2020-05-05,"model_4","3",0.021595621048774
"461",0.439357492446674,2020-05-05,"model_4","4",0.021595621048774
"561",-0.870510107295294,2020-05-05,"model_4","5",0.021595621048774
"362",0.435692096333495,2020-05-06,"model_4","3",0.0221283857775709
"462",0.441340972295981,2020-05-06,"model_4","4",0.0221283857775709
"562",-0.877033068629467,2020-05-06,"model_4","5",0.0221283857775709
"363",0.435942252390598,2020-05-07,"model_4","3",0.0221940346617959
"463",0.441510644629641,2020-05-07,"model_4","4",0.0221940346617959
"563",-0.877452897020225,2020-05-07,"model_4","5",0.0221940346617959
"364",0.433937699823485,2020-05-08,"model_4","3",0.0221916313307742
"464",0.440410476128541,2020-05-08,"model_4","4",0.0221916313307742
"564",-0.874348175952028,2020-05-08,"model_4","5",0.0221916313307742
"365",0.432273824602967,2020-05-09,"model_4","3",0.0221619691663218
