"","X.Intercept.","date_2","sub_model","lockdown_level","se"
"0",0.398630501652625,2020-03-05,"model_2","0",0.0523148619814325
"3",0.247543129461605,2020-03-05,"model_2","3",0.0523148619814325
"4",0.096494496164042,2020-03-05,"model_2","4",0.0523148619814325
"5",-0.742668127278293,2020-03-05,"model_2","5",0.0523148619814325
"01",0.393568281268569,2020-03-06,"model_2","0",0.0520389010995428
"31",0.249987102396803,2020-03-06,"model_2","3",0.0520389010995428
"41",0.0967429528910657,2020-03-06,"model_2","4",0.0520389010995428
"51",-0.740298336556449,2020-03-06,"model_2","5",0.0520389010995428
"02",0.379527465393016,2020-03-07,"model_2","0",0.0515006906571197
"32",0.261038705564424,2020-03-07,"model_2","3",0.0515006906571197
"42",0.098653189888692,2020-03-07,"model_2","4",0.0515006906571197
"52",-0.739219360846114,2020-03-07,"model_2","5",0.0515006906571197
"03",0.383453261838895,2020-03-08,"model_2","0",0.0515638978402558
"33",0.252945380357214,2020-03-08,"model_2","3",0.0515638978402558
"43",0.0976414037529511,2020-03-08,"model_2","4",0.0515638978402558
"53",-0.734040045949058,2020-03-08,"model_2","5",0.0515638978402558
"04",0.391321007416778,2020-03-09,"model_2","0",0.0519877072978347
"34",0.239758656853109,2020-03-09,"model_2","3",0.0519877072978347
"44",0.096740177745769,2020-03-09,"model_2","4",0.0519877072978347
"54",-0.727819842015666,2020-03-09,"model_2","5",0.0519877072978347
"05",0.388335426324753,2020-03-10,"model_2","0",0.0523605968149842
"35",0.236001853527586,2020-03-10,"model_2","3",0.0523605968149842
"45",0.100015177706431,2020-03-10,"model_2","4",0.0523605968149842
"55",-0.724352457558776,2020-03-10,"model_2","5",0.0523605968149842
"06",0.396068195429529,2020-03-11,"model_2","0",0.0525326729851337
"36",0.225290836131225,2020-03-11,"model_2","3",0.0525326729851337
"46",0.100381692345598,2020-03-11,"model_2","4",0.0525326729851337
"56",-0.72174072390634,2020-03-11,"model_2","5",0.0525326729851337
"07",0.395285462086448,2020-03-12,"model_2","0",0.0537486718350509
"37",0.227765045476699,2020-03-12,"model_2","3",0.0537486718350509
"47",0.105085925621869,2020-03-12,"model_2","4",0.0537486718350509
"57",-0.728136433185018,2020-03-12,"model_2","5",0.0537486718350509
"08",0.386914299745525,2020-03-13,"model_2","0",0.0537094731573522
"38",0.234323004454518,2020-03-13,"model_2","3",0.0537094731573522
"48",0.107010811307226,2020-03-13,"model_2","4",0.0537094731573522
"58",-0.728248115507272,2020-03-13,"model_2","5",0.0537094731573522
"09",0.390099782114757,2020-03-14,"model_2","0",0.0537552810205782
"39",0.230759687345782,2020-03-14,"model_2","3",0.0537552810205782
"49",0.106683213940781,2020-03-14,"model_2","4",0.0537552810205782
"59",-0.727542683401316,2020-03-14,"model_2","5",0.0537552810205782
"010",0.38662158338953,2020-03-15,"model_2","0",0.0537832148710109
"310",0.232565995240267,2020-03-15,"model_2","3",0.0537832148710109
"410",0.108093971353113,2020-03-15,"model_2","4",0.0537832148710109
"510",-0.727281549982893,2020-03-15,"model_2","5",0.0537832148710109
"011",0.385458551033035,2020-03-16,"model_2","0",0.0542538911220937
"311",0.227430087399855,2020-03-16,"model_2","3",0.0542538911220937
"411",0.109854359604865,2020-03-16,"model_2","4",0.0542538911220937
"511",-0.722742998037748,2020-03-16,"model_2","5",0.0542538911220937
"012",0.369105468150927,2020-03-17,"model_2","0",0.0549968037416751
"312",0.241567047610588,2020-03-17,"model_2","3",0.0549968037416751
"412",0.118780016556398,2020-03-17,"model_2","4",0.0549968037416751
"512",-0.729452532317909,2020-03-17,"model_2","5",0.0549968037416751
"013",0.376153653418542,2020-03-18,"model_2","0",0.0560237652795787
"313",0.234797059811582,2020-03-18,"model_2","3",0.0560237652795787
"413",0.123657428772608,2020-03-18,"model_2","4",0.0560237652795787
"513",-0.734608142002723,2020-03-18,"model_2","5",0.0560237652795787
"014",0.365161241871582,2020-03-19,"model_2","0",0.0576885314782785
"314",0.240689581493374,2020-03-19,"model_2","3",0.0576885314782785
"414",0.133709389714607,2020-03-19,"model_2","4",0.0576885314782785
"514",-0.73956021307957,2020-03-19,"model_2","5",0.0576885314782785
"015",0.358279379372786,2020-03-20,"model_2","0",0.0576167980806639
"315",0.244260282965082,2020-03-20,"model_2","3",0.0576167980806639
"415",0.136295399563785,2020-03-20,"model_2","4",0.0576167980806639
"515",-0.738835061901645,2020-03-20,"model_2","5",0.0576167980806639
"016",0.34809759002916,2020-03-21,"model_2","0",0.0577685172290929
"316",0.245037406127173,2020-03-21,"model_2","3",0.0577685172290929
"416",0.141177476570637,2020-03-21,"model_2","4",0.0577685172290929
"516",-0.734312472726991,2020-03-21,"model_2","5",0.0577685172290929
"017",0.334781888160513,2020-03-22,"model_2","0",0.058241895578126
"317",0.251668493151538,2020-03-22,"model_2","3",0.058241895578126
"417",0.147069574980905,2020-03-22,"model_2","4",0.058241895578126
"517",-0.733519956292945,2020-03-22,"model_2","5",0.058241895578126
"018",0.31772971068999,2020-03-23,"model_2","0",0.0583702087159309
"318",0.251203815931694,2020-03-23,"model_2","3",0.0583702087159309
"418",0.155126833459259,2020-03-23,"model_2","4",0.0583702087159309
"518",-0.72406036008096,2020-03-23,"model_2","5",0.0583702087159309
"019",0.262281217109277,2020-03-24,"model_2","0",0.0602992693060455
"319",0.279092866413716,2020-03-24,"model_2","3",0.0602992693060455
"419",0.18008689563671,2020-03-24,"model_2","4",0.0602992693060455
"519",-0.721460979159723,2020-03-24,"model_2","5",0.0602992693060455
"020",0.232061675881817,2020-03-25,"model_2","0",0.0637020687242207
"320",0.296791797914996,2020-03-25,"model_2","3",0.0637020687242207
"420",0.203980444033329,2020-03-25,"model_2","4",0.0637020687242207
"520",-0.732833917830131,2020-03-25,"model_2","5",0.0637020687242207
"021",0.150357916183927,2020-03-26,"model_2","0",0.0675842166673058
"321",0.340646372729217,2020-03-26,"model_2","3",0.0675842166673058
"421",0.245925909496153,2020-03-26,"model_2","4",0.0675842166673058
"521",-0.736930198409304,2020-03-26,"model_2","5",0.0675842166673058
"022",0.0424306890403226,2020-03-27,"model_2","0",0.0684915008263945
"322",0.383519815255388,2020-03-27,"model_2","3",0.0684915008263945
"422",0.291953799529884,2020-03-27,"model_2","4",0.0684915008263945
"522",-0.717904303825586,2020-03-27,"model_2","5",0.0684915008263945
"023",-0.185723435818912,2020-03-28,"model_2","0",0.0715410009375603
"323",0.490016640277701,2020-03-28,"model_2","3",0.0715410009375603
"423",0.389367101790461,2020-03-28,"model_2","4",0.0715410009375603
"523",-0.693660306249235,2020-03-28,"model_2","5",0.0715410009375603
"024",0.00209050831525449,2020-03-29,"model_2","0",0.069735762160279
"324",0.403352242269538,2020-03-29,"model_2","3",0.069735762160279
"424",0.310440951173878,2020-03-29,"model_2","4",0.069735762160279
"524",-0.715883701758659,2020-03-29,"model_2","5",0.069735762160279
"325",0.410554043636394,2020-03-30,"model_2","3",0.0653202287078743
"425",0.319890981271617,2020-03-30,"model_2","4",0.0653202287078743
"525",-0.730445024908006,2020-03-30,"model_2","5",0.0653202287078743
"326",0.35278586832443,2020-03-31,"model_2","3",0.0578953746870702
"426",0.281163740876214,2020-03-31,"model_2","4",0.0578953746870702
"526",-0.633949609200649,2020-03-31,"model_2","5",0.0578953746870702
"327",0.351826671338139,2020-04-01,"model_2","3",0.0585650660385524
"427",0.283169331126439,2020-04-01,"model_2","4",0.0585650660385524
"527",-0.634996002464567,2020-04-01,"model_2","5",0.0585650660385524
"328",0.359564783741965,2020-04-02,"model_2","3",0.0601746811789664
"428",0.292086319720771,2020-04-02,"model_2","4",0.0601746811789664
"528",-0.651651103462743,2020-04-02,"model_2","5",0.0601746811789664
"329",0.361788182677214,2020-04-03,"model_2","3",0.0594611922818909
"429",0.292279331084158,2020-04-03,"model_2","4",0.0594611922818909
"529",-0.654067513761367,2020-04-03,"model_2","5",0.0594611922818909
"330",0.360072705177109,2020-04-04,"model_2","3",0.0592135701297114
